"No.","Time","Source","Destination","Protocol","Length","Info"
"201","1.676838375","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=10482 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"202","1.676849538","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=11942 Win=58752 Len=0"
"203","1.677044860","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=11942 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"204","1.677055318","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=13402 Win=64128 Len=0"
"205","1.677205107","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=13402 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"206","1.677214371","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=14862 Win=64128 Len=0"
"207","1.881423331","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=14862 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"208","1.881445250","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=16322 Win=64128 Len=0"
"209","1.881667286","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"210","1.881677991","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=17782 Win=64128 Len=0"
"211","1.881744367","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=17782 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"212","1.881753660","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=19242 Win=63488 Len=0"
"213","1.881848160","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=19242 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"214","1.881857362","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=20702 Win=62592 Len=0"
"215","1.882304705","37.120.165.226","192.168.2.142","TCP","4434","443  >  45294 [ACK] Seq=20702 Ack=1104 Win=32512 Len=4380 [TCP segment of a reassembled PDU]"
"216","1.882317019","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=25082 Win=62592 Len=0"
"217","1.882488236","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=25082 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"218","1.882497990","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=26542 Win=61568 Len=0"
"219","1.882518641","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=26542 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"220","1.882525647","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=28002 Win=60672 Len=0"
"221","1.882612458","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=28002 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"222","1.882622424","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=29462 Win=59648 Len=0"
"223","1.882672370","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=29462 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"224","1.882862155","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=30922 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"225","1.882971701","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"226","1.883102181","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=33842 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"227","1.883220436","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=35302 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"228","1.883351251","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=36762 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"229","1.883465719","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=38222 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"230","1.883597337","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=39682 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"231","1.883709358","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=41142 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"232","1.883840730","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=42602 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"233","1.885228052","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=44062 Win=50048 Len=0"
"234","2.100753622","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=44062 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"235","2.100786817","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=45522 Win=64128 Len=0"
"236","2.100912056","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=45522 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"237","2.100925113","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=46982 Win=63488 Len=0"
"238","2.104098602","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=46982 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"239","2.104109694","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=48442 Win=64128 Len=0"
"240","2.104267683","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"241","2.104277500","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=49902 Win=64128 Len=0"
"242","2.104576256","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=49902 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"243","2.104585678","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=51362 Win=64128 Len=0"
"244","2.104833860","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=51362 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"245","2.104843416","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=52822 Win=63488 Len=0"
"246","2.105013284","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=52822 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"247","2.105023351","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=54282 Win=62592 Len=0"
"248","2.105186176","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=54282 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"249","2.105195759","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=55742 Win=61568 Len=0"
"250","2.105311065","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=55742 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"251","2.105320853","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=57202 Win=60672 Len=0"
"252","2.105472397","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=57202 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"253","2.105480771","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=58662 Win=59648 Len=0"
"254","2.105878420","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=58662 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"255","2.105887726","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=60122 Win=64128 Len=0"
"256","2.106038163","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=60122 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"257","2.106047472","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=61582 Win=64128 Len=0"
"258","2.106305772","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=61582 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"259","2.106315569","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=63042 Win=64128 Len=0"
"260","2.106468223","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=63042 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"261","2.106477163","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=64502 Win=64128 Len=0"
"262","2.106497724","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=64502 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"263","2.106504658","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=65962 Win=63488 Len=0"
"264","2.106775823","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data, Application Data"
"265","2.106785099","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=67422 Win=67072 Len=0"
"266","2.107028447","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=67422 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"267","2.107037553","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=68882 Win=70016 Len=0"
"268","2.107213404","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=68882 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"269","2.107222619","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=70342 Win=72960 Len=0"
"270","2.107510387","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=70342 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"271","2.107519974","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=71802 Win=75776 Len=0"
"272","2.108004662","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=71802 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"273","2.108014221","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=73262 Win=78720 Len=0"
"274","2.108143357","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=73262 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"275","2.108152752","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=74722 Win=81664 Len=0"
"276","2.108244810","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=74722 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"277","2.108253478","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=76182 Win=84608 Len=0"
"278","2.108551000","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=76182 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"279","2.108560285","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=77642 Win=87552 Len=0"
"280","2.108581472","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=77642 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"281","2.108588105","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=79102 Win=90368 Len=0"
"282","2.108738313","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=79102 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"283","2.108747374","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=80562 Win=93312 Len=0"
"284","2.108898761","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=80562 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"285","2.108907778","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=82022 Win=96256 Len=0"
"286","2.109232908","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=82022 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"287","2.109242256","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=83482 Win=99200 Len=0"
"288","2.109394095","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"289","2.109403028","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=84942 Win=102144 Len=0"
"290","2.109723773","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=84942 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"291","2.109733407","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=86402 Win=104960 Len=0"
"292","2.109979741","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=86402 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"293","2.109989407","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=87862 Win=107904 Len=0"
"294","2.110083027","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=87862 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"295","2.110092079","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=89322 Win=110848 Len=0"
"296","2.110457140","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=89322 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"297","2.110466195","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=90782 Win=113792 Len=0"
"298","2.110480839","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=90782 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"299","2.110487347","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=92242 Win=116736 Len=0"
"300","2.110627672","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=92242 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"301","2.110636770","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=93702 Win=119680 Len=0"
"302","2.111474521","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=93702 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"303","2.111485055","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=95162 Win=122496 Len=0"
"304","2.111532937","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=95162 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"305","2.111541362","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=96622 Win=125440 Len=0"
"306","2.111578053","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=96622 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"307","2.111585884","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=98082 Win=128384 Len=0"
"308","2.111625618","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=98082 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"309","2.111636461","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=99542 Win=131328 Len=0"
"310","2.111939654","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"311","2.111949267","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=101002 Win=134272 Len=0"
"312","2.112053111","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=101002 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"313","2.112063746","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=102462 Win=137088 Len=0"
"314","2.324164810","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=102462 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"315","2.324195498","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=103922 Win=140032 Len=0"
"316","2.324269261","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=103922 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"317","2.324280675","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=105382 Win=142976 Len=0"
"318","2.324583140","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=105382 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"319","2.324593027","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=106842 Win=145920 Len=0"
"320","2.324728385","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=106842 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"321","2.324737532","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=108302 Win=148864 Len=0"
"322","2.324762248","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=108302 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"323","2.324773795","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=109762 Win=151680 Len=0"
"324","2.324915816","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=109762 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"325","2.324924867","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=111222 Win=154624 Len=0"
"326","2.325058670","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=111222 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"327","2.325067370","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=112682 Win=157568 Len=0"
"328","2.325305625","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=112682 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"329","2.325314728","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=114142 Win=160512 Len=0"
"330","2.325553169","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=114142 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"331","2.325562196","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=115602 Win=163456 Len=0"
"332","2.325797577","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data, Application Data"
"333","2.325806586","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=117062 Win=166400 Len=0"
"334","2.328821766","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=117062 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"335","2.328832151","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=118522 Win=169216 Len=0"
"336","2.328855629","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=118522 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"337","2.328862743","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=119982 Win=172160 Len=0"
"338","2.328876340","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=119982 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"339","2.328882828","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=121442 Win=175104 Len=0"
"340","2.328896206","37.120.165.226","192.168.2.142","TCP","2974","443  >  45294 [PSH, ACK] Seq=121442 Ack=1104 Win=32512 Len=2920 [TCP segment of a reassembled PDU]"
"341","2.328904136","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=124362 Win=180992 Len=0"
"342","2.328916630","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=124362 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"343","2.328922721","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=125822 Win=183808 Len=0"
"344","2.328934921","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=125822 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"345","2.328941560","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=127282 Win=186752 Len=0"
"346","2.328953498","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=127282 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"347","2.328959671","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=128742 Win=189696 Len=0"
"348","2.328972482","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=128742 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"349","2.328979392","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=130202 Win=192640 Len=0"
"350","2.329232188","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=130202 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"351","2.329241391","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=131662 Win=195584 Len=0"
"352","2.329256079","37.120.165.226","192.168.2.142","TLSv1.2","315","Application Data [TCP segment of a reassembled PDU]"
"353","2.329263333","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=131923 Win=198400 Len=0"
"354","2.329720011","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
